customer_id,group,choice,txn_date
4849,control,,
2754,control,,
5981,control,RyeRanger,2025-06-09
22381,control,CitrusZing,2025-06-12
25668,control,,
10869,treatment,,
24654,treatment,HazyHopper,2025-06-11
11424,control,,
4341,control,RyeRanger,2025-06-28
13709,control,RyeRanger,2025-06-09
13859,control,RyeRanger,2025-06-02
13671,control,RyeRanger,2025-06-14
11974,control,RyeRanger,2025-06-20
14299,control,CitrusZing,2025-06-19
2213,control,,
26734,control,,
5463,control,,
12169,control,,
26936,control,,
2474,treatment,AlpinePils,2025-06-27
23663,control,,
11638,control,,
22409,treatment,,
8569,control,,
24163,control,,
22435,control,,
19694,treatment,TropicalIPA,2025-06-21
24358,control,RyeRanger,2025-06-03
23068,control,RyeRanger,2025-06-16
362,control,,
26292,control,RyeRanger,2025-06-16
24202,control,CitrusZing,2025-06-26
86,treatment,TropicalIPA,2025-06-11
3491,control,,
25538,control,CitrusZing,2025-06-10
26620,treatment,,
10623,treatment,,
9575,control,AmberOak,2025-06-16
23688,treatment,MidnightStout,2025-06-23
20438,control,,
21662,control,,
19346,control,,
4517,control,CitrusZing,2025-06-11
11661,control,HazyHopper,2025-06-02
8657,control,,
5207,control,RyeRanger,2025-06-22
5716,treatment,HazyHopper,2025-06-29
8560,control,RyeRanger,2025-06-20
14742,control,,
14049,control,RyeRanger,2025-06-02
4232,control,VelvetPorter,2025-06-26
10912,control,,
21264,control,RyeRanger,2025-06-29
17135,control,,
25769,control,CitrusZing,2025-06-19
15044,treatment,,
3074,control,RyeRanger,2025-06-21
12940,control,FarmhouseSaison,2025-06-22
18030,control,RyeRanger,2025-06-26
5645,control,,
19345,treatment,,
23818,treatment,CitrusZing,2025-06-30
17994,control,,
1937,treatment,,
23456,control,RyeRanger,2025-06-11
13036,control,RyeRanger,2025-06-06
19587,control,,
11840,treatment,TropicalIPA,2025-06-05
14491,control,CitrusZing,2025-06-01
2868,treatment,,
17153,treatment,,
15724,treatment,FarmhouseSaison,2025-06-09
23714,control,AmberOak,2025-06-29
24704,control,CitrusZing,2025-06-23
13945,control,AlpinePils,2025-06-05
9268,treatment,CherryLambic,2025-06-28
19925,control,CitrusZing,2025-06-12
3290,control,,
15550,control,,
24343,treatment,,
25067,control,RyeRanger,2025-06-15
25627,control,FarmhouseSaison,2025-06-08
8158,treatment,FarmhouseSaison,2025-06-08
16088,control,AmberOak,2025-06-11
10650,control,,
4163,control,,
24606,control,RyeRanger,2025-06-15
12581,control,,
15638,treatment,MidnightStout,2025-06-25
20278,control,,
25490,control,RyeRanger,2025-06-28
57,control,CherryLambic,2025-06-25
2094,control,RyeRanger,2025-06-03
14541,control,,
11430,treatment,CherryLambic,2025-06-19
26409,treatment,MidnightStout,2025-06-08
8792,control,RyeRanger,2025-06-09
3540,control,,
25060,control,VelvetPorter,2025-06-29
13925,treatment,RyeRanger,2025-06-22
17783,treatment,MidnightStout,2025-06-22
17916,control,RyeRanger,2025-06-14
12644,control,RyeRanger,2025-06-01
5649,treatment,,
25802,control,RyeRanger,2025-06-12
11771,control,RyeRanger,2025-06-11
17271,control,,
20537,treatment,,
9119,control,AlpinePils,2025-06-30
16643,control,,
3243,control,,
8677,treatment,AlpinePils,2025-06-21
5333,control,RyeRanger,2025-06-23
10040,control,,
4190,treatment,,
11685,control,,
3064,control,,
15687,control,,
14097,control,AlpinePils,2025-06-25
1071,control,AmberOak,2025-06-30
1176,treatment,TropicalIPA,2025-06-27
7035,control,CitrusZing,2025-06-02
1575,control,RyeRanger,2025-06-10
11246,treatment,AmberOak,2025-06-14
22203,control,RyeRanger,2025-06-30
2259,treatment,CitrusZing,2025-06-15
16626,control,RyeRanger,2025-06-25
10081,treatment,HazyHopper,2025-06-17
8561,control,,
10225,control,,
15894,treatment,RyeRanger,2025-06-25
1157,control,,
23475,treatment,,
24235,treatment,VelvetPorter,2025-06-29
22422,control,,
4291,treatment,,
2934,control,CitrusZing,2025-06-22
17018,control,,
13695,treatment,MidnightStout,2025-06-03
818,control,RyeRanger,2025-06-25
20630,treatment,,
9058,control,RyeRanger,2025-06-17
7437,treatment,,
26724,control,RyeRanger,2025-06-30
12514,treatment,VelvetPorter,2025-06-04
12985,control,RyeRanger,2025-06-22
16868,treatment,TropicalIPA,2025-06-15
4553,control,,
26742,control,,
10327,control,RyeRanger,2025-06-20
1652,control,,
13162,control,,
4311,treatment,,
17931,control,,
10835,control,,
19199,treatment,TropicalIPA,2025-06-05
23527,control,AmberOak,2025-06-01
7195,control,,
2824,treatment,,
25381,control,CitrusZing,2025-06-27
11647,treatment,AlpinePils,2025-06-18
13757,treatment,CherryLambic,2025-06-14
10887,control,,
20399,treatment,,
538,treatment,,
24894,treatment,,
15315,treatment,TropicalIPA,2025-06-30
4216,treatment,,
18053,treatment,,
20110,control,,
11732,treatment,,
11392,control,,
12756,treatment,,
24048,control,RyeRanger,2025-06-06
1066,treatment,AmberOak,2025-06-07
12242,control,,
10161,control,,
24363,control,,
10382,control,,
3620,control,RyeRanger,2025-06-25
12120,control,HazyHopper,2025-06-22
26217,control,,
10936,control,CitrusZing,2025-06-03
24744,control,,
11747,treatment,,
22191,control,,
21488,control,CitrusZing,2025-06-22
13215,control,,
22065,treatment,,
4127,control,CherryLambic,2025-06-14
16730,treatment,AlpinePils,2025-06-15
4491,control,AmberOak,2025-06-23
22602,treatment,,
4829,control,,
21664,control,CitrusZing,2025-06-16
2942,treatment,,
20113,treatment,MidnightStout,2025-06-04
9482,control,CitrusZing,2025-06-24
1724,treatment,,
20924,treatment,MidnightStout,2025-06-28
6752,treatment,AlpinePils,2025-06-07
3554,treatment,MidnightStout,2025-06-26
6940,control,RyeRanger,2025-06-06
21478,treatment,CitrusZing,2025-06-18
25127,control,,
25492,treatment,,
10585,treatment,,
533,control,RyeRanger,2025-06-05
6794,treatment,,
25856,control,CitrusZing,2025-06-10
5943,treatment,,
21802,control,FarmhouseSaison,2025-06-24
26521,control,,
23800,control,CitrusZing,2025-06-08
11591,treatment,RyeRanger,2025-06-13
4105,control,CitrusZing,2025-06-19
7012,treatment,AmberOak,2025-06-28
258,control,,
10200,treatment,,
24463,treatment,CherryLambic,2025-06-17
13922,control,RyeRanger,2025-06-02
10972,control,,
13935,control,HazyHopper,2025-06-24
1529,control,,
23830,control,,
9251,control,RyeRanger,2025-06-07
20676,control,,
1986,control,RyeRanger,2025-06-29
23974,control,,
3128,control,,
26189,control,,
13556,control,,
127,control,VelvetPorter,2025-06-06
1638,control,,
17520,control,RyeRanger,2025-06-27
10766,treatment,,
20883,control,AlpinePils,2025-06-26
16413,treatment,AmberOak,2025-06-22
25106,treatment,AlpinePils,2025-06-02
3039,treatment,CherryLambic,2025-06-08
14358,control,AmberOak,2025-06-27
6050,control,,
11568,treatment,,
5383,control,RyeRanger,2025-06-21
11507,treatment,,
12127,control,RyeRanger,2025-06-11
22992,control,,
15560,treatment,,
16184,treatment,,
23463,control,CitrusZing,2025-06-30
6015,control,RyeRanger,2025-06-28
17261,control,,
24347,control,RyeRanger,2025-06-26
25033,control,,
11993,control,,
542,treatment,AmberOak,2025-06-14
2960,control,,
18966,control,,
10077,treatment,CherryLambic,2025-06-07
13881,treatment,,
5907,control,CitrusZing,2025-06-28
978,control,AmberOak,2025-06-22
17688,control,CitrusZing,2025-06-14
6021,control,,
16471,treatment,TropicalIPA,2025-06-27
11421,control,,
4,control,RyeRanger,2025-06-12
12411,treatment,CitrusZing,2025-06-09
1175,control,RyeRanger,2025-06-16
4711,control,RyeRanger,2025-06-06
16033,treatment,,
25144,treatment,VelvetPorter,2025-06-18
6189,control,,
15970,control,,
13869,treatment,,
20633,control,RyeRanger,2025-06-06
25482,treatment,CherryLambic,2025-06-30
5450,treatment,AmberOak,2025-06-27
20428,control,,
20891,treatment,VelvetPorter,2025-06-11
26250,control,TropicalIPA,2025-06-17
4824,treatment,,
6778,treatment,,
1418,control,,
26962,control,RyeRanger,2025-06-12
6852,control,RyeRanger,2025-06-22
10470,control,RyeRanger,2025-06-13
6733,control,RyeRanger,2025-06-28
4922,treatment,,
18225,control,RyeRanger,2025-06-21
24727,control,RyeRanger,2025-06-22
7706,control,HazyHopper,2025-06-05
22540,treatment,CherryLambic,2025-06-24
13563,treatment,RyeRanger,2025-06-24
11824,control,,
8590,control,,
1039,control,,
10306,control,,
25622,treatment,CitrusZing,2025-06-02
19718,control,RyeRanger,2025-06-01
10935,treatment,AmberOak,2025-06-11
23367,treatment,,
1427,control,,
25847,control,RyeRanger,2025-06-25
25100,control,,
15429,control,RyeRanger,2025-06-23
4529,treatment,CitrusZing,2025-06-18
22694,control,,
5007,treatment,,
15922,treatment,,
10949,control,,
24900,control,,
11326,control,CitrusZing,2025-06-25
10394,control,RyeRanger,2025-06-29
14681,control,,
19790,treatment,MidnightStout,2025-06-30
24582,control,RyeRanger,2025-06-19
21014,control,,
17191,treatment,VelvetPorter,2025-06-19
21880,treatment,CitrusZing,2025-06-18
5209,treatment,,
21807,treatment,,
13032,control,CitrusZing,2025-06-02
21082,control,RyeRanger,2025-06-22
11108,control,RyeRanger,2025-06-18
14910,treatment,VelvetPorter,2025-06-30
3392,treatment,AmberOak,2025-06-29
11730,treatment,CitrusZing,2025-06-23
24395,control,RyeRanger,2025-06-30
8316,control,CitrusZing,2025-06-06
18459,control,,
10290,treatment,AmberOak,2025-06-27
14241,treatment,,
7422,control,,
3968,control,RyeRanger,2025-06-18
27232,treatment,,
8270,treatment,,
5075,treatment,,
15382,control,CitrusZing,2025-06-12
18862,treatment,,
14024,treatment,,
3905,treatment,,
20915,control,CitrusZing,2025-06-28
21682,control,,
5558,control,,
7416,treatment,,
19172,treatment,MidnightStout,2025-06-20
20672,control,,
13633,treatment,CitrusZing,2025-06-10
16372,control,,
623,control,,
5440,treatment,,
13644,treatment,,
20017,control,AlpinePils,2025-06-06
11962,treatment,RyeRanger,2025-06-23
2849,treatment,,
24968,treatment,HazyHopper,2025-06-11
21869,control,RyeRanger,2025-06-11
19904,control,RyeRanger,2025-06-04
16216,control,,
10165,treatment,VelvetPorter,2025-06-08
1777,control,RyeRanger,2025-06-25
22787,treatment,,
11651,control,RyeRanger,2025-06-11
4557,control,,
15577,treatment,,
6878,control,RyeRanger,2025-06-24
12043,control,,
15224,treatment,VelvetPorter,2025-06-25
1410,control,CitrusZing,2025-06-04
25311,treatment,,
20421,control,RyeRanger,2025-06-17
13312,control,,
4237,treatment,AlpinePils,2025-06-22
1899,control,,
2668,control,RyeRanger,2025-06-24
23651,control,RyeRanger,2025-06-03
19684,control,RyeRanger,2025-06-30
24562,treatment,,
14665,control,VelvetPorter,2025-06-02
20431,treatment,,
22945,control,RyeRanger,2025-06-07
27126,control,,
5966,control,RyeRanger,2025-06-10
9223,treatment,,
16297,control,RyeRanger,2025-06-17
11588,control,,
17165,treatment,,
3753,control,,
3238,control,,
4071,control,,
5242,control,CitrusZing,2025-06-19
9908,control,CitrusZing,2025-06-05
3242,control,,
7345,treatment,CitrusZing,2025-06-27
12265,treatment,HazyHopper,2025-06-03
9658,control,AmberOak,2025-06-06
19632,control,,
7101,treatment,CherryLambic,2025-06-28
11379,treatment,,
6652,control,,
10415,control,,
19508,control,,
15618,treatment,AlpinePils,2025-06-29
2324,control,AmberOak,2025-06-29
3217,treatment,MidnightStout,2025-06-06
3352,control,,
5959,treatment,MidnightStout,2025-06-10
23175,control,,
20691,treatment,,
16686,control,RyeRanger,2025-06-10
16724,treatment,AlpinePils,2025-06-04
20171,treatment,VelvetPorter,2025-06-26
16627,control,TropicalIPA,2025-06-08
21459,control,RyeRanger,2025-06-10
2671,control,,
9042,control,,
26398,treatment,CherryLambic,2025-06-21
26137,treatment,,
16301,control,CitrusZing,2025-06-19
26393,control,TropicalIPA,2025-06-27
26707,control,,
14605,treatment,CitrusZing,2025-06-05
3342,control,RyeRanger,2025-06-16
13093,treatment,FarmhouseSaison,2025-06-25
13104,control,,
3205,control,,
18698,treatment,,
23936,control,RyeRanger,2025-06-25
12714,treatment,,
13303,control,RyeRanger,2025-06-29
26268,control,,
15728,control,,
19947,control,RyeRanger,2025-06-23
24287,treatment,AlpinePils,2025-06-01
12659,control,RyeRanger,2025-06-18
21296,control,CitrusZing,2025-06-04
25626,control,,
9646,control,,
25109,control,,
23537,control,CitrusZing,2025-06-12
8289,control,,
11336,control,FarmhouseSaison,2025-06-07
5804,control,RyeRanger,2025-06-05
26823,control,,
10477,control,RyeRanger,2025-06-16
15701,control,CitrusZing,2025-06-20
4032,treatment,,
27360,control,,
18706,treatment,,
23135,control,AmberOak,2025-06-08
27017,control,TropicalIPA,2025-06-24
7657,control,,
23207,treatment,,
20040,control,,
15710,control,,
26511,control,RyeRanger,2025-06-10
18269,control,,
21851,control,CitrusZing,2025-06-27
5921,control,,
1577,control,,
26638,control,RyeRanger,2025-06-14
24458,treatment,FarmhouseSaison,2025-06-24
22879,control,RyeRanger,2025-06-12
14422,control,RyeRanger,2025-06-15
481,control,AmberOak,2025-06-12
20849,treatment,AlpinePils,2025-06-06
11359,treatment,,
20463,control,,
3370,control,RyeRanger,2025-06-13
12393,treatment,,
17906,treatment,AlpinePils,2025-06-08
24755,treatment,,
2728,control,,
2742,treatment,RyeRanger,2025-06-21
4472,control,CitrusZing,2025-06-05
12009,control,,
1956,control,RyeRanger,2025-06-04
2167,control,,
14232,control,,
19226,control,,
23769,treatment,,
21951,control,RyeRanger,2025-06-01
24370,treatment,,
14678,control,,
1651,treatment,,
11472,control,,
20545,control,,
11551,control,RyeRanger,2025-06-18
23649,treatment,,
23137,control,RyeRanger,2025-06-24
7415,treatment,,
1193,treatment,,
16845,treatment,AlpinePils,2025-06-29
22585,treatment,TropicalIPA,2025-06-27
20673,control,RyeRanger,2025-06-04
10480,treatment,AmberOak,2025-06-26
8223,control,,
15056,control,RyeRanger,2025-06-04
1081,treatment,CitrusZing,2025-06-18
21970,control,RyeRanger,2025-06-29
15148,treatment,,
5684,control,,
12953,control,RyeRanger,2025-06-15
2446,control,AmberOak,2025-06-01
19113,treatment,MidnightStout,2025-06-04
26154,treatment,,
9686,control,RyeRanger,2025-06-06
13094,control,CitrusZing,2025-06-17
20144,treatment,,
1904,treatment,,
24480,treatment,FarmhouseSaison,2025-06-03
5014,treatment,,
2396,control,,
26491,treatment,VelvetPorter,2025-06-28
14282,treatment,HazyHopper,2025-06-08
19492,control,,
23256,control,AmberOak,2025-06-18
5998,control,,
3722,control,,
3840,control,,
26504,control,,
5292,treatment,AmberOak,2025-06-29
6143,treatment,,
17925,control,,
8178,control,,
2128,control,RyeRanger,2025-06-23
11616,treatment,AmberOak,2025-06-07
16167,control,RyeRanger,2025-06-12
1213,control,,
7809,treatment,HazyHopper,2025-06-12
1905,control,CitrusZing,2025-06-29
5021,treatment,,
7138,treatment,,
6718,treatment,TropicalIPA,2025-06-27
5509,treatment,,
18167,treatment,FarmhouseSaison,2025-06-07
9775,control,AmberOak,2025-06-11
13336,treatment,,
16685,treatment,FarmhouseSaison,2025-06-18
21667,control,,
6448,treatment,CitrusZing,2025-06-22
17652,treatment,CitrusZing,2025-06-21
6793,treatment,,
26884,control,,
7168,control,AmberOak,2025-06-12
26076,control,RyeRanger,2025-06-08
13799,control,CitrusZing,2025-06-28
534,control,,
21403,treatment,,
21847,control,RyeRanger,2025-06-22
20372,treatment,CitrusZing,2025-06-12
18890,treatment,TropicalIPA,2025-06-02
12102,control,AmberOak,2025-06-11
24730,control,CitrusZing,2025-06-03
8111,treatment,AlpinePils,2025-06-28
26315,treatment,,
13453,treatment,FarmhouseSaison,2025-06-27
19804,control,,
16016,control,RyeRanger,2025-06-09
11652,treatment,AmberOak,2025-06-02
1460,control,,
7391,treatment,CherryLambic,2025-06-17
1272,control,RyeRanger,2025-06-03
15368,treatment,,
16922,control,AmberOak,2025-06-01
4965,control,,
16496,control,CitrusZing,2025-06-25
13980,control,,
12771,treatment,MidnightStout,2025-06-23
22827,treatment,FarmhouseSaison,2025-06-04
19948,control,,
3990,treatment,,
11400,control,AlpinePils,2025-06-10
17150,control,,
2982,treatment,,
14479,treatment,AmberOak,2025-06-25
21967,treatment,,
21550,control,RyeRanger,2025-06-06
14715,control,,
12734,control,,
13958,treatment,FarmhouseSaison,2025-06-04
1051,treatment,CherryLambic,2025-06-11
11495,treatment,MidnightStout,2025-06-15
13946,treatment,,
26660,control,,
20090,control,,
8420,control,,
14200,control,CitrusZing,2025-06-22
3078,treatment,AmberOak,2025-06-20
13081,treatment,,
5885,control,RyeRanger,2025-06-22
9523,treatment,,
10826,control,,
14360,control,,
4532,control,CitrusZing,2025-06-17
14503,treatment,,
15939,control,,
19296,control,CherryLambic,2025-06-20
2406,treatment,,
10363,treatment,CherryLambic,2025-06-14
11975,control,CitrusZing,2025-06-26
10453,control,CitrusZing,2025-06-24
2912,treatment,,
22262,control,,
18809,treatment,HazyHopper,2025-06-16
26648,control,RyeRanger,2025-06-13
7858,control,,
25859,control,,
25212,control,RyeRanger,2025-06-02
16939,treatment,CitrusZing,2025-06-15
10735,treatment,CitrusZing,2025-06-05
22786,control,RyeRanger,2025-06-29
24079,treatment,,
18739,control,RyeRanger,2025-06-25
8294,control,RyeRanger,2025-06-14
9729,control,,
1923,treatment,CherryLambic,2025-06-06
15159,treatment,VelvetPorter,2025-06-12
4089,control,,
11056,treatment,,
3334,control,RyeRanger,2025-06-21
18593,control,,
4576,control,,
21394,control,,
14137,treatment,CitrusZing,2025-06-24
6787,control,,
11559,treatment,CitrusZing,2025-06-29
22617,control,,
18523,treatment,HazyHopper,2025-06-10
17751,control,,
6629,control,HazyHopper,2025-06-17
12817,control,,
22233,control,,
14338,control,,
4437,treatment,CherryLambic,2025-06-27
26105,control,CitrusZing,2025-06-20
25987,control,CitrusZing,2025-06-24
4916,control,RyeRanger,2025-06-12
6324,treatment,,
19143,control,,
4059,control,AmberOak,2025-06-02
13912,control,RyeRanger,2025-06-27
5345,control,,
15853,treatment,,
18354,treatment,,
18345,control,,
17169,control,,
10493,treatment,,
1089,treatment,,
7474,treatment,,
7413,control,,
347,control,VelvetPorter,2025-06-18
8997,control,RyeRanger,2025-06-07
2997,control,RyeRanger,2025-06-20
15122,treatment,HazyHopper,2025-06-15
11950,treatment,TropicalIPA,2025-06-30
20001,treatment,,
25922,treatment,,
19341,control,RyeRanger,2025-06-12
12296,control,,
16709,treatment,,
201,control,RyeRanger,2025-06-08
26113,control,CitrusZing,2025-06-21
27464,control,,
17620,treatment,VelvetPorter,2025-06-13
26309,treatment,,
21579,treatment,,
17825,treatment,TropicalIPA,2025-06-01
24406,treatment,,
5792,treatment,MidnightStout,2025-06-25
24165,control,CitrusZing,2025-06-30
19544,control,,
17692,control,,
1379,treatment,MidnightStout,2025-06-17
5221,treatment,,
9283,control,RyeRanger,2025-06-21
6777,control,CitrusZing,2025-06-18
13001,treatment,,
18266,control,,
5681,control,CitrusZing,2025-06-18
15011,treatment,,
778,treatment,,
11489,control,CitrusZing,2025-06-13
2425,treatment,FarmhouseSaison,2025-06-20
23896,treatment,MidnightStout,2025-06-28
2353,control,,
4281,treatment,,
7794,control,,
12543,control,FarmhouseSaison,2025-06-07
11956,treatment,,
10677,treatment,,
20183,treatment,MidnightStout,2025-06-02
7536,control,RyeRanger,2025-06-29
17594,treatment,,
3292,control,,
4618,treatment,HazyHopper,2025-06-17
22043,control,,
11077,treatment,CherryLambic,2025-06-15
23200,treatment,,
9051,treatment,CherryLambic,2025-06-26
32,treatment,MidnightStout,2025-06-14
3347,treatment,,
15799,control,,
20727,control,,
3275,treatment,,
9129,control,AmberOak,2025-06-13
6842,treatment,,
7739,control,,
5246,control,AmberOak,2025-06-08
13275,treatment,FarmhouseSaison,2025-06-04
19816,control,,
27559,control,RyeRanger,2025-06-18
15332,treatment,RyeRanger,2025-06-09
4992,control,,
19546,treatment,,
16526,control,CitrusZing,2025-06-17
21066,treatment,,
19874,treatment,,
16982,control,RyeRanger,2025-06-10
7289,treatment,RyeRanger,2025-06-14
17651,control,,
15534,treatment,FarmhouseSaison,2025-06-11
19744,treatment,,
4859,treatment,CherryLambic,2025-06-04
12218,control,,
4766,treatment,,
26635,control,CitrusZing,2025-06-20
5444,control,,
24642,control,CitrusZing,2025-06-24
12901,treatment,MidnightStout,2025-06-07
2339,control,CherryLambic,2025-06-22
1729,treatment,,
1776,control,,
21530,control,RyeRanger,2025-06-12
17222,treatment,,
4439,treatment,,
4582,control,CitrusZing,2025-06-03
21311,control,AmberOak,2025-06-21
1164,treatment,AmberOak,2025-06-28
26547,control,,
6055,treatment,,
7382,control,,
14102,control,,
15247,control,AlpinePils,2025-06-11
573,control,,
16452,treatment,TropicalIPA,2025-06-26
26243,control,,
21795,control,,
2382,treatment,,
22080,control,RyeRanger,2025-06-13
9378,control,AmberOak,2025-06-14
6148,treatment,,
25134,control,AmberOak,2025-06-27
13994,control,RyeRanger,2025-06-05
25985,control,RyeRanger,2025-06-19
2364,treatment,,
1808,treatment,TropicalIPA,2025-06-03
3159,treatment,CherryLambic,2025-06-24
9630,treatment,FarmhouseSaison,2025-06-26
9045,treatment,VelvetPorter,2025-06-08
20309,control,CitrusZing,2025-06-11
22974,treatment,,
6841,treatment,,
2694,treatment,,
8642,control,,
9612,control,CitrusZing,2025-06-18
25704,control,RyeRanger,2025-06-27
19871,control,,
26240,treatment,CherryLambic,2025-06-17
918,control,CitrusZing,2025-06-11
9778,control,,
20498,treatment,RyeRanger,2025-06-23
581,control,AmberOak,2025-06-15
16429,treatment,RyeRanger,2025-06-01
262,control,CitrusZing,2025-06-20
3781,treatment,AmberOak,2025-06-30
13225,treatment,,
22292,control,RyeRanger,2025-06-16
1433,control,,
4306,treatment,,
1673,treatment,,
23921,treatment,,
5747,treatment,,
18394,control,,
5753,treatment,,
5201,treatment,,
12829,control,,
10860,control,,
11677,control,RyeRanger,2025-06-11
7491,treatment,CherryLambic,2025-06-11
23401,control,CitrusZing,2025-06-30
5169,treatment,RyeRanger,2025-06-11
