customer_id,group,choice,txn_date,purchase_flag
8666,control,HazyHopper,2025-06-08,1
22087,treatment,,,0
25440,treatment,,,0
17878,control,TropicalIPA,2025-06-13,1
7624,treatment,CherryLambic,2025-06-06,1
22279,control,,,0
14191,control,,,0
17206,treatment,,,0
10266,control,HazyHopper,2025-06-15,1
16963,control,CitrusZing,2025-06-17,1
21464,control,,,0
2290,control,CitrusZing,2025-06-29,1
14792,control,,,0
10899,control,VelvetPorter,2025-06-09,1
24625,control,,,0
12108,control,HazyHopper,2025-06-03,1
7760,control,,,0
22309,treatment,TropicalIPA,2025-06-26,1
1676,control,,,0
4107,control,,,0
328,control,CitrusZing,2025-06-04,1
12011,control,,,0
7803,control,,,0
20845,treatment,,,0
5389,control,TropicalIPA,2025-06-23,1
7873,control,HazyHopper,2025-06-10,1
22593,control,,,0
11755,control,HazyHopper,2025-06-05,1
2394,treatment,MidnightStout,2025-06-04,1
13982,control,,,0
4717,control,,,0
22052,control,,,0
4868,control,,,0
18721,control,CitrusZing,2025-06-21,1
6426,control,,,0
10157,control,HazyHopper,2025-06-28,1
13651,treatment,,,0
11423,treatment,HazyHopper,2025-06-26,1
17154,control,CitrusZing,2025-06-06,1
19682,treatment,MidnightStout,2025-06-10,1
4549,control,,,0
8769,control,HazyHopper,2025-06-04,1
8936,control,,,0
4134,control,,,0
16554,control,HazyHopper,2025-06-10,1
22050,treatment,,,0
27390,treatment,CitrusZing,2025-06-16,1
11750,control,,,0
9360,control,AlpinePils,2025-06-24,1
3370,control,,,0
8580,control,,,0
14940,control,,,0
20689,treatment,,,0
10832,treatment,CherryLambic,2025-06-16,1
18991,control,,,0
25244,treatment,CherryLambic,2025-06-21,1
10767,treatment,,,0
26675,control,CitrusZing,2025-06-28,1
16190,control,HazyHopper,2025-06-16,1
15798,control,CherryLambic,2025-06-20,1
26035,control,,,0
11091,control,,,0
9643,control,,,0
23014,control,HazyHopper,2025-06-08,1
9739,treatment,VelvetPorter,2025-06-06,1
14637,treatment,RyeRanger,2025-06-09,1
10908,treatment,,,0
18245,treatment,MidnightStout,2025-06-15,1
6573,control,TropicalIPA,2025-06-14,1
13479,control,AlpinePils,2025-06-27,1
18903,control,,,0
8703,control,,,0
18076,treatment,AmberOak,2025-06-22,1
23988,treatment,FarmhouseSaison,2025-06-21,1
4198,control,TropicalIPA,2025-06-17,1
1800,control,,,0
6061,control,CitrusZing,2025-06-12,1
26870,treatment,TropicalIPA,2025-06-23,1
12869,control,,,0
21611,control,HazyHopper,2025-06-05,1
2221,control,TropicalIPA,2025-06-19,1
737,control,,,0
307,control,AlpinePils,2025-06-04,1
6411,control,HazyHopper,2025-06-26,1
10124,control,HazyHopper,2025-06-03,1
26321,control,HazyHopper,2025-06-08,1
132,control,,,0
11025,control,TropicalIPA,2025-06-14,1
22214,control,,,0
3686,treatment,,,0
27262,control,,,0
664,treatment,HazyHopper,2025-06-18,1
21103,control,CitrusZing,2025-06-26,1
1426,control,,,0
27111,treatment,CitrusZing,2025-06-09,1
20732,control,,,0
10253,treatment,,,0
3976,control,HazyHopper,2025-06-08,1
8928,control,TropicalIPA,2025-06-02,1
12588,control,CitrusZing,2025-06-14,1
12578,control,CitrusZing,2025-06-16,1
21858,control,AlpinePils,2025-06-23,1
10757,treatment,RyeRanger,2025-06-17,1
26701,control,CitrusZing,2025-06-26,1
10555,control,CitrusZing,2025-06-17,1
14769,control,CitrusZing,2025-06-21,1
6303,control,VelvetPorter,2025-06-21,1
18058,control,TropicalIPA,2025-06-16,1
400,control,,,0
10748,treatment,TropicalIPA,2025-06-15,1
2782,treatment,,,0
16560,treatment,,,0
16002,control,,,0
13920,treatment,,,0
8260,control,,,0
12917,treatment,VelvetPorter,2025-06-01,1
17247,treatment,CherryLambic,2025-06-06,1
2435,control,,,0
24591,control,CitrusZing,2025-06-23,1
23410,control,,,0
10034,control,AlpinePils,2025-06-04,1
19489,treatment,FarmhouseSaison,2025-06-16,1
27523,treatment,CitrusZing,2025-06-04,1
8632,treatment,,,0
18949,control,,,0
15091,control,CitrusZing,2025-06-05,1
26073,control,,,0
3438,control,,,0
12328,control,TropicalIPA,2025-06-22,1
6977,treatment,,,0
23577,control,,,0
24147,control,AlpinePils,2025-06-24,1
970,control,HazyHopper,2025-06-18,1
15080,treatment,,,0
13090,treatment,RyeRanger,2025-06-30,1
2279,control,CherryLambic,2025-06-04,1
1879,control,,,0
19482,control,CitrusZing,2025-06-07,1
14078,control,HazyHopper,2025-06-01,1
1825,control,CitrusZing,2025-06-02,1
12442,treatment,HazyHopper,2025-06-03,1
24192,control,HazyHopper,2025-06-23,1
18818,control,,,0
23196,treatment,,,0
19704,control,,,0
21296,control,HazyHopper,2025-06-18,1
5094,treatment,AmberOak,2025-06-19,1
8361,treatment,,,0
22686,control,,,0
24677,control,,,0
16716,control,,,0
19829,control,,,0
16295,control,CitrusZing,2025-06-24,1
26958,control,HazyHopper,2025-06-08,1
26013,control,CitrusZing,2025-06-11,1
2257,treatment,AlpinePils,2025-06-02,1
9846,treatment,VelvetPorter,2025-06-08,1
6406,control,,,0
11100,treatment,,,0
15084,control,,,0
23323,control,,,0
24298,control,,,0
9106,control,,,0
12304,control,,,0
6623,control,TropicalIPA,2025-06-10,1
21510,control,CitrusZing,2025-06-27,1
23802,treatment,AlpinePils,2025-06-28,1
23407,treatment,HazyHopper,2025-06-30,1
23996,treatment,CitrusZing,2025-06-03,1
8242,control,,,0
12908,control,,,0
18524,control,TropicalIPA,2025-06-23,1
22239,control,TropicalIPA,2025-06-28,1
26855,treatment,HazyHopper,2025-06-27,1
20392,treatment,MidnightStout,2025-06-01,1
11147,treatment,,,0
12484,control,,,0
22906,treatment,CitrusZing,2025-06-02,1
23150,control,,,0
18200,treatment,CitrusZing,2025-06-16,1
17292,treatment,,,0
21403,treatment,,,0
1991,control,HazyHopper,2025-06-12,1
11179,treatment,,,0
6279,treatment,,,0
2227,treatment,,,0
11208,treatment,,,0
10226,control,,,0
12959,treatment,CitrusZing,2025-06-15,1
16214,control,AlpinePils,2025-06-07,1
13036,control,HazyHopper,2025-06-28,1
8575,control,,,0
3689,control,CitrusZing,2025-06-28,1
19255,treatment,,,0
5335,treatment,AlpinePils,2025-06-20,1
14163,control,CitrusZing,2025-06-25,1
9343,control,CitrusZing,2025-06-20,1
21736,control,TropicalIPA,2025-06-25,1
17334,treatment,HazyHopper,2025-06-18,1
2083,control,,,0
22024,treatment,,,0
2170,treatment,,,0
10429,control,HazyHopper,2025-06-08,1
22699,control,,,0
6810,treatment,CherryLambic,2025-06-08,1
18039,control,CitrusZing,2025-06-20,1
8824,control,TropicalIPA,2025-06-10,1
5637,control,HazyHopper,2025-06-15,1
24425,control,HazyHopper,2025-06-13,1
4191,control,HazyHopper,2025-06-01,1
24363,control,,,0
10548,control,,,0
15385,control,AlpinePils,2025-06-09,1
12795,control,,,0
4224,treatment,HazyHopper,2025-06-02,1
9563,control,AlpinePils,2025-06-30,1
9831,treatment,FarmhouseSaison,2025-06-15,1
19444,treatment,CitrusZing,2025-06-22,1
12633,treatment,VelvetPorter,2025-06-09,1
753,control,,,0
8107,control,,,0
22506,treatment,,,0
26961,control,,,0
4702,control,CitrusZing,2025-06-08,1
24418,treatment,,,0
2147,control,,,0
19586,control,,,0
23078,control,AlpinePils,2025-06-30,1
22417,treatment,HazyHopper,2025-06-15,1
25870,treatment,,,0
19026,control,,,0
22414,control,,,0
11618,treatment,CitrusZing,2025-06-27,1
13238,control,,,0
26228,treatment,,,0
27590,control,CitrusZing,2025-06-19,1
11130,treatment,VelvetPorter,2025-06-29,1
24400,treatment,CherryLambic,2025-06-22,1
17321,control,HazyHopper,2025-06-30,1
22113,control,VelvetPorter,2025-06-16,1
1286,control,CitrusZing,2025-06-10,1
4905,control,TropicalIPA,2025-06-01,1
4625,control,TropicalIPA,2025-06-11,1
11658,control,,,0
177,control,HazyHopper,2025-06-23,1
13092,treatment,AmberOak,2025-06-12,1
21980,control,HazyHopper,2025-06-13,1
10447,treatment,TropicalIPA,2025-06-03,1
12121,control,HazyHopper,2025-06-08,1
14470,treatment,,,0
17828,treatment,CherryLambic,2025-06-24,1
21137,control,HazyHopper,2025-06-16,1
15965,control,,,0
425,control,TropicalIPA,2025-06-08,1
5961,treatment,,,0
17554,treatment,,,0
14068,control,TropicalIPA,2025-06-16,1
15964,treatment,,,0
16227,control,CitrusZing,2025-06-07,1
14128,control,HazyHopper,2025-06-16,1
15472,control,,,0
3094,control,HazyHopper,2025-06-03,1
9061,control,HazyHopper,2025-06-14,1
21114,treatment,,,0
9661,treatment,TropicalIPA,2025-06-15,1
16728,control,TropicalIPA,2025-06-04,1
4939,control,AlpinePils,2025-06-09,1
12570,treatment,,,0
1685,control,,,0
25549,control,,,0
17490,treatment,HazyHopper,2025-06-16,1
1738,control,HazyHopper,2025-06-05,1
2483,control,AlpinePils,2025-06-17,1
25833,control,HazyHopper,2025-06-30,1
5717,control,CitrusZing,2025-06-22,1
24840,control,HazyHopper,2025-06-18,1
14761,control,HazyHopper,2025-06-13,1
16896,control,HazyHopper,2025-06-11,1
14528,control,,,0
19442,control,,,0
6758,treatment,RyeRanger,2025-06-26,1
5894,control,HazyHopper,2025-06-13,1
1342,control,,,0
16829,control,,,0
14860,control,,,0
8,control,,,0
9997,control,,,0
24351,treatment,CherryLambic,2025-06-06,1
4243,treatment,AlpinePils,2025-06-04,1
16213,treatment,,,0
12406,treatment,RyeRanger,2025-06-14,1
14529,control,HazyHopper,2025-06-05,1
3493,control,TropicalIPA,2025-06-16,1
1648,control,,,0
22371,control,,,0
8222,control,HazyHopper,2025-06-04,1
26858,treatment,VelvetPorter,2025-06-22,1
24637,control,,,0
1016,treatment,,,0
10355,treatment,VelvetPorter,2025-06-12,1
23354,treatment,,,0
8177,control,CitrusZing,2025-06-03,1
27465,control,,,0
9939,control,,,0
17993,control,,,0
22387,control,,,0
15341,control,CitrusZing,2025-06-03,1
17227,treatment,,,0
22048,control,HazyHopper,2025-06-27,1
1301,control,,,0
21792,treatment,,,0
11650,treatment,,,0
25689,treatment,,,0
26358,treatment,VelvetPorter,2025-06-01,1
13494,control,,,0
8522,control,,,0
13179,control,,,0
22859,control,,,0
23062,control,,,0
13486,control,,,0
25292,control,,,0
14059,control,,,0
16150,control,,,0
11336,control,HazyHopper,2025-06-07,1
12300,treatment,CherryLambic,2025-06-26,1
26128,treatment,,,0
6037,control,,,0
25464,control,CitrusZing,2025-06-08,1
7994,treatment,,,0
22801,treatment,CherryLambic,2025-06-14,1
4178,control,HazyHopper,2025-06-11,1
16917,control,,,0
24965,control,CitrusZing,2025-06-17,1
1438,control,,,0
15508,treatment,VelvetPorter,2025-06-04,1
11050,control,HazyHopper,2025-06-01,1
2856,treatment,AmberOak,2025-06-12,1
927,treatment,,,0
8991,control,HazyHopper,2025-06-08,1
21601,control,HazyHopper,2025-06-12,1
14544,control,,,0
21263,control,TropicalIPA,2025-06-23,1
5643,control,,,0
7979,control,CherryLambic,2025-06-27,1
24730,control,HazyHopper,2025-06-09,1
503,treatment,,,0
20849,control,TropicalIPA,2025-06-06,1
5026,control,HazyHopper,2025-06-02,1
21596,control,HazyHopper,2025-06-24,1
7494,treatment,MidnightStout,2025-06-27,1
8345,control,HazyHopper,2025-06-07,1
7697,treatment,FarmhouseSaison,2025-06-28,1
11150,control,,,0
2270,treatment,,,0
22405,control,,,0
10998,control,,,0
21285,control,CitrusZing,2025-06-01,1
27019,control,HazyHopper,2025-06-15,1
26935,treatment,,,0
7261,control,,,0
22648,control,TropicalIPA,2025-06-19,1
9729,treatment,,,0
19624,treatment,MidnightStout,2025-06-20,1
23990,control,CitrusZing,2025-06-08,1
10509,control,,,0
17922,control,,,0
17798,control,,,0
2788,control,,,0
7209,control,TropicalIPA,2025-06-18,1
22962,control,,,0
18108,treatment,CherryLambic,2025-06-07,1
17271,treatment,,,0
25500,treatment,,,0
16160,control,,,0
6842,control,,,0
18528,control,,,0
13935,treatment,AmberOak,2025-06-01,1
21143,control,,,0
10286,control,,,0
14480,control,CitrusZing,2025-06-24,1
19232,treatment,,,0
17025,treatment,,,0
7397,control,,,0
25422,control,,,0
10197,control,HazyHopper,2025-06-24,1
9484,control,HazyHopper,2025-06-12,1
8359,treatment,,,0
872,treatment,CitrusZing,2025-06-26,1
1522,control,HazyHopper,2025-06-16,1
17305,control,HazyHopper,2025-06-15,1
6039,control,,,0
22180,treatment,,,0
27469,treatment,AlpinePils,2025-06-22,1
25563,control,,,0
13016,control,TropicalIPA,2025-06-09,1
12514,control,HazyHopper,2025-06-19,1
20511,treatment,AmberOak,2025-06-10,1
10176,treatment,RyeRanger,2025-06-08,1
14935,control,HazyHopper,2025-06-21,1
15593,treatment,MidnightStout,2025-06-18,1
8886,control,,,0
19464,control,,,0
2386,treatment,,,0
26556,treatment,,,0
2316,treatment,CherryLambic,2025-06-06,1
26286,control,,,0
11034,control,,,0
4011,control,HazyHopper,2025-06-30,1
3631,treatment,RyeRanger,2025-06-25,1
22729,treatment,RyeRanger,2025-06-04,1
922,control,CitrusZing,2025-06-09,1
3693,treatment,,,0
19438,control,TropicalIPA,2025-06-15,1
16585,control,,,0
4594,treatment,,,0
17708,treatment,AlpinePils,2025-06-25,1
2169,treatment,,,0
570,treatment,,,0
25690,treatment,,,0
3726,control,,,0
23377,treatment,,,0
18654,control,HazyHopper,2025-06-19,1
27184,control,,,0
23246,control,,,0
9363,control,CitrusZing,2025-06-09,1
8304,control,HazyHopper,2025-06-17,1
26966,treatment,,,0
7314,treatment,,,0
8226,treatment,,,0
18876,treatment,CitrusZing,2025-06-30,1
19293,treatment,,,0
25933,treatment,,,0
1612,control,HazyHopper,2025-06-21,1
10957,control,CitrusZing,2025-06-28,1
22578,control,HazyHopper,2025-06-03,1
16583,control,TropicalIPA,2025-06-23,1
23700,control,,,0
21096,treatment,HazyHopper,2025-06-04,1
27103,control,HazyHopper,2025-06-24,1
11563,control,HazyHopper,2025-06-12,1
13865,treatment,AmberOak,2025-06-10,1
722,control,,,0
10920,treatment,,,0
23892,control,HazyHopper,2025-06-05,1
3999,control,HazyHopper,2025-06-19,1
7169,treatment,CitrusZing,2025-06-29,1
22947,control,CherryLambic,2025-06-14,1
18462,control,,,0
1262,treatment,VelvetPorter,2025-06-13,1
17389,control,HazyHopper,2025-06-03,1
4954,control,,,0
12849,control,HazyHopper,2025-06-11,1
25949,control,,,0
15415,treatment,,,0
13121,control,,,0
19626,treatment,,,0
6661,treatment,,,0
1344,control,,,0
11013,control,,,0
16400,control,,,0
11802,treatment,HazyHopper,2025-06-20,1
5413,control,,,0
24018,control,CitrusZing,2025-06-10,1
23798,control,,,0
24217,control,,,0
764,treatment,,,0
13775,control,CitrusZing,2025-06-06,1
20720,control,,,0
2642,treatment,VelvetPorter,2025-06-14,1
16459,control,HazyHopper,2025-06-17,1
14156,control,CitrusZing,2025-06-24,1
5773,control,TropicalIPA,2025-06-15,1
18437,control,,,0
12313,control,,,0
2732,control,,,0
25630,control,,,0
21435,control,,,0
24119,control,,,0
26400,treatment,CitrusZing,2025-06-30,1
26007,control,,,0
19940,control,HazyHopper,2025-06-16,1
21686,control,,,0
20320,control,TropicalIPA,2025-06-14,1
24468,control,,,0
8149,treatment,,,0
8788,control,,,0
13965,control,,,0
6517,treatment,,,0
3110,control,,,0
20989,treatment,,,0
20232,control,,,0
22361,control,CitrusZing,2025-06-29,1
18756,control,HazyHopper,2025-06-21,1
18235,control,,,0
21620,treatment,AmberOak,2025-06-23,1
1098,control,,,0
480,treatment,CherryLambic,2025-06-05,1
4080,control,,,0
2362,control,,,0
17259,treatment,,,0
7019,control,,,0
2189,control,,,0
25217,control,,,0
7479,control,,,0
24459,treatment,FarmhouseSaison,2025-06-30,1
14834,control,,,0
25193,treatment,,,0
7514,control,,,0
1980,control,CitrusZing,2025-06-24,1
6486,treatment,,,0
12091,treatment,,,0
9544,control,CitrusZing,2025-06-14,1
24669,control,,,0
24972,treatment,,,0
7634,treatment,HazyHopper,2025-06-30,1
26757,control,,,0
3198,treatment,TropicalIPA,2025-06-13,1
3695,control,,,0
678,treatment,VelvetPorter,2025-06-03,1
15178,treatment,,,0
17443,treatment,,,0
17385,control,HazyHopper,2025-06-30,1
20381,control,,,0
19048,treatment,FarmhouseSaison,2025-06-25,1
21230,treatment,,,0
17613,treatment,RyeRanger,2025-06-02,1
19818,control,,,0
16200,control,HazyHopper,2025-06-21,1
16292,control,,,0
27001,treatment,CitrusZing,2025-06-06,1
17358,treatment,,,0
17907,control,,,0
16794,treatment,,,0
14755,treatment,TropicalIPA,2025-06-20,1
16119,treatment,,,0
3234,control,HazyHopper,2025-06-17,1
6682,treatment,,,0
18794,control,TropicalIPA,2025-06-12,1
17282,treatment,,,0
11388,control,CitrusZing,2025-06-12,1
19759,treatment,TropicalIPA,2025-06-24,1
10859,control,TropicalIPA,2025-06-14,1
17031,treatment,,,0
19182,control,,,0
1463,control,,,0
16775,control,,,0
13911,control,HazyHopper,2025-06-11,1
4556,control,TropicalIPA,2025-06-17,1
19810,treatment,AlpinePils,2025-06-16,1
27355,control,TropicalIPA,2025-06-13,1
18992,treatment,,,0
10205,control,,,0
6527,control,,,0
5907,control,,,0
4369,control,,,0
26031,control,HazyHopper,2025-06-15,1
26534,control,,,0
1039,control,,,0
17653,control,,,0
27369,treatment,VelvetPorter,2025-06-30,1
14667,treatment,,,0
12806,control,,,0
11681,treatment,,,0
17614,control,HazyHopper,2025-06-10,1
20969,treatment,AmberOak,2025-06-13,1
18379,treatment,,,0
1069,control,,,0
25145,control,,,0
22468,control,,,0
2085,treatment,CherryLambic,2025-06-07,1
24991,control,,,0
9039,control,,,0
25446,control,CitrusZing,2025-06-16,1
22630,control,HazyHopper,2025-06-09,1
14054,treatment,,,0
29,control,,,0
15460,control,,,0
21037,control,CitrusZing,2025-06-25,1
17991,control,HazyHopper,2025-06-06,1
16374,control,TropicalIPA,2025-06-14,1
24960,control,CitrusZing,2025-06-17,1
26062,control,HazyHopper,2025-06-26,1
7598,control,TropicalIPA,2025-06-16,1
7101,control,TropicalIPA,2025-06-14,1
11964,treatment,VelvetPorter,2025-06-27,1
13915,treatment,,,0
9779,control,TropicalIPA,2025-06-18,1
1056,treatment,,,0
8564,treatment,CitrusZing,2025-06-28,1
10251,control,TropicalIPA,2025-06-14,1
18669,treatment,,,0
10896,control,,,0
13473,treatment,CherryLambic,2025-06-12,1
7925,control,,,0
959,control,,,0
806,control,AlpinePils,2025-06-03,1
24755,treatment,VelvetPorter,2025-06-15,1
2743,treatment,,,0
21319,control,HazyHopper,2025-06-30,1
6033,control,AlpinePils,2025-06-11,1
8838,control,HazyHopper,2025-06-29,1
8183,control,,,0
3503,control,TropicalIPA,2025-06-18,1
4008,control,HazyHopper,2025-06-15,1
17491,control,,,0
15044,control,,,0
22887,treatment,FarmhouseSaison,2025-06-28,1
11220,control,,,0
11608,control,HazyHopper,2025-06-10,1
24209,treatment,,,0
19882,treatment,,,0
14498,control,,,0
21279,control,,,0
25608,control,,,0
13511,control,HazyHopper,2025-06-09,1
4438,control,,,0
18322,control,HazyHopper,2025-06-12,1
892,treatment,,,0
5447,control,CherryLambic,2025-06-25,1
19854,control,,,0
10747,control,CitrusZing,2025-06-29,1
17482,control,,,0
13959,control,HazyHopper,2025-06-06,1
12872,treatment,CherryLambic,2025-06-05,1
19364,treatment,,,0
12756,control,CherryLambic,2025-06-16,1
194,control,HazyHopper,2025-06-27,1
3015,treatment,,,0
3636,control,HazyHopper,2025-06-09,1
14730,control,,,0
21593,treatment,,,0
18578,control,AlpinePils,2025-06-18,1
10869,control,,,0
16021,treatment,AmberOak,2025-06-06,1
7198,control,,,0
17213,control,TropicalIPA,2025-06-13,1
13267,control,HazyHopper,2025-06-14,1
391,control,CitrusZing,2025-06-22,1
26802,control,HazyHopper,2025-06-07,1
8181,control,,,0
9584,treatment,VelvetPorter,2025-06-02,1
11246,control,HazyHopper,2025-06-20,1
13794,control,CitrusZing,2025-06-29,1
19074,control,,,0
6685,treatment,TropicalIPA,2025-06-06,1
8445,control,HazyHopper,2025-06-27,1
5259,treatment,AmberOak,2025-06-02,1
27420,control,,,0
14945,treatment,AlpinePils,2025-06-25,1
5870,treatment,,,0
3946,control,,,0
3420,treatment,MidnightStout,2025-06-25,1
11683,control,HazyHopper,2025-06-13,1
4667,control,,,0
19206,control,,,0
4452,control,CitrusZing,2025-06-20,1
21731,treatment,,,0
19317,control,TropicalIPA,2025-06-13,1
1268,control,CitrusZing,2025-06-16,1
349,control,TropicalIPA,2025-06-28,1
20567,control,TropicalIPA,2025-06-18,1
20959,control,,,0
996,treatment,,,0
6298,control,HazyHopper,2025-06-16,1
6622,treatment,,,0
24473,control,CitrusZing,2025-06-03,1
655,control,CitrusZing,2025-06-09,1
23828,control,,,0
2710,control,HazyHopper,2025-06-18,1
23639,treatment,,,0
22899,treatment,CherryLambic,2025-06-02,1
17000,control,HazyHopper,2025-06-05,1
25457,treatment,,,0
2976,control,,,0
24063,control,HazyHopper,2025-06-13,1
8676,control,HazyHopper,2025-06-24,1
7212,control,CitrusZing,2025-06-24,1
11350,control,,,0
13362,control,,,0
12900,control,,,0
6798,treatment,,,0
6409,control,HazyHopper,2025-06-17,1
5102,control,,,0
670,control,,,0
4486,treatment,AmberOak,2025-06-10,1
6122,control,,,0
7659,control,,,0
1662,treatment,MidnightStout,2025-06-13,1
8675,treatment,,,0
1497,treatment,,,0
9307,control,HazyHopper,2025-06-01,1
8645,treatment,,,0
9668,treatment,,,0
9378,treatment,MidnightStout,2025-06-22,1
11671,control,,,0
27597,control,,,0
1380,control,AlpinePils,2025-06-05,1
4871,control,,,0
15779,control,,,0
12286,treatment,,,0
3476,control,,,0
18010,treatment,AmberOak,2025-06-21,1
928,control,HazyHopper,2025-06-12,1
909,control,,,0
1868,treatment,AmberOak,2025-06-11,1
10317,control,HazyHopper,2025-06-13,1
1793,control,,,0
25846,control,,,0
10508,control,CitrusZing,2025-06-18,1
253,control,HazyHopper,2025-06-21,1
24469,treatment,,,0
10328,treatment,,,0
154,treatment,,,0
11286,control,,,0
21255,control,,,0
23837,treatment,,,0
16062,control,,,0
5942,control,,,0
17426,control,,,0
4940,control,HazyHopper,2025-06-11,1
23827,treatment,TropicalIPA,2025-06-07,1
21886,control,,,0
13821,treatment,,,0
8514,treatment,,,0
17950,control,,,0
4523,control,,,0
26167,treatment,,,0
15881,treatment,HazyHopper,2025-06-15,1
8012,control,TropicalIPA,2025-06-03,1
11798,control,HazyHopper,2025-06-17,1
16367,control,TropicalIPA,2025-06-27,1
22532,control,CitrusZing,2025-06-07,1
21951,treatment,,,0
5276,control,TropicalIPA,2025-06-19,1
10459,control,,,0
23079,treatment,AlpinePils,2025-06-05,1
16883,control,TropicalIPA,2025-06-10,1
13250,control,HazyHopper,2025-06-27,1
11087,control,TropicalIPA,2025-06-20,1
7931,control,AlpinePils,2025-06-17,1
25075,control,,,0
10848,treatment,VelvetPorter,2025-06-15,1
21689,control,,,0
10342,treatment,,,0
17867,treatment,,,0
2919,treatment,CherryLambic,2025-06-07,1
24212,control,HazyHopper,2025-06-16,1
7807,control,,,0
21200,control,CitrusZing,2025-06-07,1
18884,treatment,,,0
18082,control,HazyHopper,2025-06-13,1
9390,treatment,,,0
11782,treatment,AmberOak,2025-06-04,1
4987,control,HazyHopper,2025-06-12,1
9862,control,HazyHopper,2025-06-14,1
18980,control,CitrusZing,2025-06-19,1
15615,control,,,0
22886,control,HazyHopper,2025-06-18,1
20838,control,,,0
19494,control,TropicalIPA,2025-06-30,1
11046,control,,,0
22184,control,TropicalIPA,2025-06-25,1
484,treatment,CherryLambic,2025-06-17,1
24029,treatment,TropicalIPA,2025-06-27,1
23730,treatment,CherryLambic,2025-06-18,1
18237,treatment,VelvetPorter,2025-06-21,1
8018,control,,,0
3888,control,,,0
7260,control,HazyHopper,2025-06-03,1
17016,control,,,0
8247,control,,,0
5829,treatment,,,0
11761,treatment,,,0
24553,treatment,,,0
18547,treatment,FarmhouseSaison,2025-06-07,1
4227,control,CitrusZing,2025-06-06,1
12326,control,,,0
21442,control,CitrusZing,2025-06-16,1
6043,treatment,FarmhouseSaison,2025-06-04,1
18127,control,,,0
13958,treatment,,,0
8477,control,HazyHopper,2025-06-14,1
27146,control,,,0
23401,control,HazyHopper,2025-06-07,1
1852,treatment,CitrusZing,2025-06-02,1
20928,control,,,0
13940,control,CitrusZing,2025-06-19,1
24355,control,TropicalIPA,2025-06-26,1
12257,control,HazyHopper,2025-06-23,1
26423,treatment,AmberOak,2025-06-02,1
16694,control,TropicalIPA,2025-06-14,1
18252,control,HazyHopper,2025-06-01,1
11151,treatment,CherryLambic,2025-06-24,1
589,control,,,0
8465,control,TropicalIPA,2025-06-20,1
13498,control,,,0
3849,control,,,0
7996,control,HazyHopper,2025-06-21,1
15910,control,HazyHopper,2025-06-16,1
10136,control,,,0
13713,control,,,0
15533,control,AlpinePils,2025-06-24,1
3909,control,HazyHopper,2025-06-03,1
1141,treatment,AlpinePils,2025-06-12,1
13649,control,HazyHopper,2025-06-03,1
4300,treatment,AmberOak,2025-06-30,1
9332,treatment,AlpinePils,2025-06-19,1
16407,control,HazyHopper,2025-06-06,1
13586,control,,,0
19149,control,,,0
5231,control,,,0
16713,treatment,RyeRanger,2025-06-15,1
22984,control,,,0
